test,FVG,Control,Difference,RelativeDiff,OddsRatio,CI_low,CI_high,p_cluster_boot,N_matched
touch_5,0.707325,0.67705,0.03027499999999999,0.044716047559264435,1.1527839670599276,0.026425617747653018,0.034173320230869525,0.0,40000
touch_15,0.819825,0.80529,0.01453499999999999,0.01804939835338821,1.1001770409512326,0.010276791914645703,0.018438515056974542,0.0,40000
touch_30,0.871225,0.861665,0.009559999999999989,0.011094799022822082,1.0861564668827188,0.006053416309270822,0.012782180287480533,0.0,40000
touch_60,0.908625,0.902855,0.005769999999999989,0.0063908379529381675,1.069940771030788,0.002578286370810863,0.009041309359400708,0.0,40000
half_60,0.873125,0.87025,0.002874999999999988,0.0033036483769031746,1.0260386078967747,-0.0007810269561368756,0.006058620513356538,0.15,40000
full_60,0.8444,0.8384950000000001,0.005904999999999988,0.007042379501368509,1.0452595083635505,0.002457687129078669,0.009894479741768897,0.0,40000
touch_120,0.936575,0.9313299999999999,0.00524499999999999,0.005631730965393567,1.0887935508930826,0.0027385444807062243,0.007881845061508725,0.0,40000
touch_240,0.954025,0.951525,0.0024999999999999927,0.002627361341005221,1.0571476093747751,0.00033050416112022395,0.004578853521053586,0.04,40000
touch_1380,0.98195,0.9819200000000001,2.9999999999996606e-05,3.055238715984663e-05,1.0016926530282388,-0.0016859293885758894,0.001255612190808794,0.96,40000
half_1380,0.9754,0.975875,-0.00047500000000000444,-0.0004867426668374581,0.9802137127301846,-0.0023232651347865124,0.0013122387334282594,0.61,40000
full_1380,0.969875,0.9704149999999999,-0.000540000000000005,-0.0005564629565701324,0.9815282006117841,-0.0023865714280277145,0.0013723115371767995,0.61,40000
touch_4140,0.98945,0.9896950000000001,-0.00024500000000000205,-0.0002475510131909346,0.9765354489866365,-0.0015087165259255308,0.0008754385706838825,0.68,40000
half_4140,0.98585,0.98615,-0.0003000000000000026,-0.00030421335496628565,0.978500822970583,-0.0019083538305336152,0.0011521882388047435,0.76,40000
full_4140,0.98235,0.982975,-0.0006250000000000032,-0.0006358249192502384,0.9639759252549386,-0.002330189149352725,0.0013212580474676117,0.58,40000
