timeframe_min,survived_through_bars,next_horizon_bars,N_FVG_survivors,N_control_survivors,FVG_cond_touch,Control_cond_touch,Difference
1,1,3,6678,20919,0.3345312967954477,0.3035995984511688,0.0309316983442789
1,3,5,4444,14568,0.1874437443744374,0.1895936298736957,-0.0021498854992583
1,5,10,3611,11806,0.2705621711437275,0.2713874301202778,-0.0008252589765503
1,10,20,2634,8602,0.2676537585421412,0.2862125087189026,-0.0185587501767613
5,1,3,6735,20798,0.3308092056421677,0.3069525915953457,0.023856614046822
5,3,5,4507,14414,0.1888173951630796,0.1850284445677813,0.0037889505952983
5,5,10,3656,11747,0.2628555798687089,0.2655145994722057,-0.0026590196034967
5,10,20,2695,8628,0.2897959183673469,0.2793231339823829,0.0104727843849639
15,1,3,6765,20148,0.3287509238728751,0.310204486797697,0.018546437075178
15,3,5,4541,13898,0.1955516406077956,0.1951359907900417,0.0004156498177539
15,5,10,3653,11186,0.2562277580071174,0.2623815483640264,-0.0061537903569089
15,10,20,2717,8251,0.2605815237394184,0.2854199490970791,-0.0248384253576606
60,1,3,4604,13863,0.3071242397914857,0.2928659020414051,0.0142583377500805
60,3,5,3190,9803,0.1927899686520376,0.1972865449352239,-0.0044965762831862
60,5,10,2575,7869,0.2578640776699029,0.2631846486211717,-0.0053205709512687
60,10,20,1911,5798,0.3207744636316065,0.340462228354605,-0.0196877647229985
240,1,3,1434,3974,0.3152022315202231,0.3059889280322093,0.0092133034880138
240,3,5,982,2758,0.2780040733197556,0.2567077592458303,0.0212963140739252
240,5,10,709,2050,0.2200282087447108,0.2721951219512195,-0.0521669132065086
240,10,20,553,1492,0.3001808318264014,0.2949061662198391,0.0052746656065623
