timeframe_min,horizon_bars,N,FVG_dir_return_ATR,Matched_nonFVG_return_ATR,Difference_ATR,FVG_positive_rate,Matched_positive_rate
1,1,7788,-0.0075723147457022,0.0063002436097328,-0.013872558355435,0.4652028762198253,0.4690549563430919
1,3,7788,0.0076299857732601,-0.017455548156902,0.0250855339301622,0.4740626605033384,0.4695685670261941
1,5,7788,-0.0009353209492485,-0.0280291016461365,0.027093780696888,0.4835644581407293,0.4691833590138675
1,10,7788,-0.0007725539852344,-0.0617743910114834,0.0610018370262489,0.4843348741653826,0.4785567539804828
5,1,7211,-0.0067855431267852,-0.0124085163245902,0.0056229731978049,0.4685896546942171,0.46498405214256
5,3,7211,-0.0002125492412395,0.0131008512855906,-0.0133134005268302,0.4886978227707669,0.4881431146858965
5,5,7211,-0.0038346955551682,0.0371927797412246,-0.0410274752963929,0.4884204687283317,0.4867563444737207
5,10,7211,0.0281342639806628,0.0197775055532721,0.0083567584273906,0.4902232700041603,0.4959090278740812
15,1,6521,0.0132447945098866,0.0003387282030252,0.0129060663068614,0.4875019168839135,0.4970096610949241
15,3,6521,0.0113286005834961,0.0167707011248014,-0.0054421005413052,0.4836681490568931,0.4991565710780555
15,5,6521,0.0074833445033887,-0.0008489610975203,0.0083323056009091,0.4850483054746204,0.5008434289219444
15,10,6521,0.0147102894984163,0.034271011603699,-0.0195607221052826,0.4976230639472473,0.5045238460358841
60,1,5138,0.0104409014380585,0.0267040664105333,-0.0162631649724747,0.4924094978590891,0.5013623978201635
60,3,5138,0.0337927597434342,0.0434696078947287,-0.0096768481512945,0.5184896847022188,0.5099260412611911
60,5,5138,0.0626528427193927,0.1007681389605262,-0.0381152962411334,0.5237446477228493,0.522966134682756
60,10,5138,0.1171625092841634,0.1882816444465937,-0.0711191351624303,0.5233553912028026,0.5231607629427792
240,1,1375,0.0214157724338867,-0.003745199522986,0.0251609719568727,0.52,0.5098181818181818
240,3,1375,0.0566545761582395,-0.015734704920477,0.0723892810787165,0.512,0.5236363636363637
240,5,1375,0.0204634266997945,-0.0394662772881187,0.0599297039879132,0.5105454545454545,0.509090909090909
240,10,1375,0.0217070804944548,0.0617709629165627,-0.0400638824221079,0.5374545454545454,0.5156363636363637
