timeframe_min,split,N,FVG_touch5,Control_touch5,Difference
1,train,8400,0.7014285714285714,0.6707936507936508,0.0306349206349206
1,test,3600,0.6936111111111111,0.675,0.0186111111111111
5,train,8400,0.6975,0.6765079365079364,0.0209920634920635
5,test,3600,0.6902777777777778,0.6671296296296296,0.0231481481481481
15,train,8400,0.6991666666666667,0.6922619047619047,0.0069047619047619
15,test,3600,0.6872222222222222,0.6823148148148148,0.0049074074074074
60,train,5567,0.6784623675229028,0.6682234596730735,0.0102389078498293
60,test,2387,0.6711353162966066,0.6749057394218685,-0.0037704231252618
240,train,1596,0.6835839598997494,0.6906850459482038,-0.0071010860484544
240,test,685,0.7021897810218978,0.7231143552311434,-0.0209245742092457
