timeframe_min,metric,N,FVG,Control,Difference
1,mean_3bar_away_ATR,9971,0.0013955486283086,-0.0138144743122215,0.0152100229405301
1,1gap_rejection_before_fullfill,7029,0.5235453122777066,0.5003319580784369,0.0232133541992697
5,mean_3bar_away_ATR,9951,0.0044834127299418,-0.0090767907461245,0.0135602034760664
5,1gap_rejection_before_fullfill,6734,0.5295515295515295,0.5173250173250173,0.0122265122265122
15,mean_3bar_away_ATR,9854,0.0001616100957404,-0.0163402413518511,0.0165018514475916
15,1gap_rejection_before_fullfill,6578,0.5262997871693524,0.5122377622377622,0.0140620249315901
60,mean_3bar_away_ATR,6580,-0.0034707283314506,-0.0280250378685849,0.0245543095371343
60,1gap_rejection_before_fullfill,4293,0.5180526438388073,0.5089680875844398,0.0090845562543675
240,mean_3bar_away_ATR,1875,-0.0183477607827106,-0.0773544034816137,0.059006642698903
240,1gap_rejection_before_fullfill,1245,0.5132530120481927,0.4977242302543507,0.015528781793842
